change_id,repo,repo_has_prod_environment,pr_state,originated_as_draft,author,author_is_bot,contributors,reviewers,human_reviewer_count,bot_reviewer_count,commit_count,commits_truncated,additions,deletions,first_commit_at,last_commit_at,last_work_commit_at,ready_at,merged_at,deployed_at,time_to_develop_h,time_to_review_h,lead_time_h,dev_window_h,time_to_develop_biz_h,time_to_review_biz_h,lead_time_biz_h,dev_window_biz_h,trailing_sync_commits,post_ready_work_commits,committed_after_ready,force_push_count,develop_unmeasurable,develop_unmeasurable_reason
1,repo-01,False,MERGED,False,person-01,False,person-01,,0,0,5,False,816,1195,2025-12-08T06:45:04Z,2026-05-14T12:56:08Z,2026-05-14T12:56:08Z,2025-12-08T06:46:11Z,2026-05-29T08:19:04Z,,0.0186,4129.5481,,3774.1844,0.0,1054.0,,960.5,0,4,True,1,False,
2,repo-02,False,MERGED,False,person-02,True,person-02,,0,0,1,False,5,5,2026-02-26T07:52:57Z,2026-02-26T07:52:57Z,2026-02-26T07:52:57Z,2026-02-26T07:52:58Z,2026-08-21T06:13:11Z,,0.0003,4222.3369,,0.0,0.0,1069.7197,,0.0,0,0,False,0,False,
3,repo-02,False,MERGED,False,person-02,True,person-02,,0,0,1,False,3,3,2026-03-01T13:42:36Z,2026-03-01T13:42:36Z,2026-03-01T13:42:36Z,2026-03-01T13:42:36Z,2026-08-21T06:12:58Z,,0.0,4144.5061,,0.0,0.0,1061.2161,,0.0,0,0,False,0,False,
4,repo-02,False,MERGED,False,person-02,True,person-02,,0,0,1,False,3,3,2026-03-26T12:58:01Z,2026-03-26T12:58:01Z,2026-03-26T12:58:01Z,2026-03-26T12:58:02Z,2026-08-21T06:12:45Z,,0.0003,3545.2453,,0.0,0.0,899.7125,,0.0,0,0,False,0,False,
5,repo-02,False,MERGED,False,person-02,True,person-02,,0,0,1,False,3,3,2026-03-29T18:44:20Z,2026-03-29T18:44:20Z,2026-03-29T18:44:20Z,2026-03-29T18:44:21Z,2026-08-21T06:12:27Z,,0.0003,3467.4683,,0.0,0.0,891.2075,,0.0,0,0,False,0,False,
6,repo-03,True,MERGED,False,person-03,False,person-03,person-01;person-04,1,1,4,False,504,21,2026-04-30T01:12:07Z,2026-06-01T05:05:28Z,2026-06-01T05:05:28Z,2026-04-30T04:27:57Z,2026-06-02T05:26:24Z,2026-07-02T00:22:39Z,3.2639,792.9742,714.9375,771.8892,3.2639,196.4742,181.9375,190.8892,0,2,True,2,False,
7,repo-03,True,MERGED,False,person-05,False,person-05;person-06,person-04;person-07,1,1,8,False,252,0,2026-05-11T12:43:21Z,2026-06-01T01:46:44Z,2026-06-01T01:38:31Z,2026-05-11T12:59:52Z,2026-06-01T01:52:43Z,2026-07-02T00:22:39Z,0.2753,492.8808,742.4989,492.9194,0.0,121.8786,193.9989,121.6419,1,4,True,0,False,
8,repo-03,True,MERGED,False,person-03,False,person-03,person-01;person-04,1,1,2,False,115,39,2026-05-21T23:55:57Z,2026-06-01T00:42:27Z,2026-05-21T23:55:57Z,2026-05-22T00:13:34Z,2026-06-01T00:51:03Z,2026-07-02T00:22:39Z,0.2936,240.6247,743.5267,0.0,0.2936,51.6247,195.0267,0.0,1,0,False,0,False,
9,repo-03,True,MERGED,True,person-08,False,person-08,person-03;person-04;person-09,1,2,16,False,1720,1678,2026-05-22T08:01:10Z,2026-06-03T00:28:37Z,2026-06-01T23:17:14Z,2026-05-25T04:38:17Z,2026-06-03T00:40:25Z,2026-07-02T00:22:39Z,68.6186,212.0356,695.7039,255.2678,5.6381,55.5356,178.2039,51.2872,2,3,True,0,False,
10,repo-03,True,MERGED,True,person-07,False,person-07,person-04;person-05,1,1,4,False,291,0,2026-05-25T06:35:28Z,2026-05-29T03:23:43Z,2026-05-27T07:26:29Z,2026-05-27T07:15:22Z,2026-05-29T03:29:19Z,2026-07-02T00:22:39Z,48.665,44.2325,812.8889,48.8503,17.665,13.2325,200.8889,17.8503,1,1,True,0,False,
